Computing Time;Material;Thickness (in um);EM_Model
895.37930560112;alu;70;EM_Opt0
1292.184146642685;alu;200;EM_Opt0
1547.7664353847504;alu;270;EM_Opt0
2899.4446291923523;alu;400;EM_Opt0
4039.716225862503;alu;600;EM_Opt0
6434.418425798416;alu;1000;EM_Opt0
5979.189570188522;alu;1400;EM_Opt0
8031.321898460388;alu;2000;EM_Opt0
13344.433979511261;alu;3000;EM_Opt0
;;;
;;;
1340.7229125499725;alu;70;EM_Opt1
1940.9161043167114;alu;200;EM_Opt1
2260.1109828948975;alu;270;EM_Opt1
2857.4385340213776;alu;400;EM_Opt1
4049.6476814746857;alu;600;EM_Opt1
4378.181918144226;alu;1000;EM_Opt1
6113.272711515427;alu;1400;EM_Opt1
11662.311718463898;alu;2000;EM_Opt1
9391.74521613121;alu;3000;EM_Opt1
;;;
;;;
1343.4619603157043;alu;70;EM_Opt2
1913.7786235809326;alu;200;EM_Opt2
2277.122938632965;alu;270;EM_Opt2
2962.9366459846497;alu;400;EM_Opt2
4013.8404910564423;alu;600;EM_Opt2
4473.776709079742;alu;1000;EM_Opt2
8606.405144453049;alu;1400;EM_Opt2
11723.015619516373;alu;2000;EM_Opt2
13506.050243616104;alu;3000;EM_Opt2
;;;
;;;
1331.6342375278473;alu;70;EM_Opt3
1288.3943991661072;alu;200;EM_Opt3
2314.367334127426;alu;270;EM_Opt3
1994.627718925476;alu;400;EM_Opt3
4064.0354087352753;alu;600;EM_Opt3
6227.066484928131;alu;1000;EM_Opt3
8828.469881772995;alu;1400;EM_Opt3
11669.377867937088;alu;2000;EM_Opt3
10194.961419582367;alu;3000;EM_Opt3
;;;
;;;
1311.9832813739777;alu;70;EM_Opt4
1935.792444229126;alu;200;EM_Opt4
2218.404591321945;alu;270;EM_Opt4
1993.0221474170685;alu;400;EM_Opt4
3848.0128240585327;alu;600;EM_Opt4
4460.0161073207855;alu;1000;EM_Opt4
8704.542736053467;alu;1400;EM_Opt4
8057.272025108337;alu;2000;EM_Opt4
;;;
;;;
876.9442758560181;alu;70;EM_LIV
1910.8812074661255;alu;200;EM_LIV
2309.0544815063477;alu;270;EM_LIV
2991.115104675293;alu;400;EM_LIV
4014.387267589569;alu;600;EM_LIV
6437.7812514305115;alu;1000;EM_LIV
8487.635407686234;alu;1400;EM_LIV
11771.880553245544;alu;2000;EM_LIV
;;;
;;;
892.4041879177094;alu;70;EM_PEN
1909.1749861240387;alu;200;EM_PEN
2293.7452902793884;alu;270;EM_PEN
2992.7662551403046;alu;400;EM_PEN
4059.859428167343;alu;600;EM_PEN
6482.9183576107025;alu;1000;EM_PEN
8581.300142765045;alu;1400;EM_PEN
7968.860113859177;alu;2000;EM_PEN
