Computing Time,Material,Thickness,EM_Model
0.38332700729370117,alu,70um,EM_Opt0
13474.105297803879,alu,70um,EM_Opt3
13445.552785158157,alu,70um,EM_Opt4
0.22832560539245605,alu,200um,EM_Opt0
18799.256462097168,alu,200um,EM_Opt3
18726.708948135376,alu,200um,EM_Opt4
0.28072214126586914,alu,270um,EM_Opt0
23662.53257751465,alu,270um,EM_Opt3
17074.32960987091,alu,270um,EM_Opt4
0.21825313568115234,alu,400um,EM_Opt0
35156.155507564545,alu,400um,EM_Opt3
31285.613560676575,alu,400um,EM_Opt4
0.20393896102905273,alu,600um,EM_Opt0
41222.69332790375,alu,600um,EM_Opt3
48839.88338947296,alu,600um,EM_Opt4
